mi_sku,subcategoria,n_variantes,tipos,imagen_compartida,estado
MED-6525,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-165D0_img1.jpg,imagenes_variante_duplicadas
MED-6526,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-170_img1.jpg,imagenes_variante_duplicadas
MED-6527,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-173D0_img1.jpg,imagenes_variante_duplicadas
MED-6528,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1750_img1.jpg,imagenes_variante_duplicadas
MED-6529,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-1790_img1.jpg,imagenes_variante_duplicadas
MED-6530,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-17M0_img1.jpg,imagenes_variante_duplicadas
MED-6531,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-180_img1.jpg,imagenes_variante_duplicadas
MED-6532,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-190_img1.jpg,imagenes_variante_duplicadas
MED-6533,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-191P0_img1.jpg,imagenes_variante_duplicadas
MED-6534,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-200_img1.jpg,imagenes_variante_duplicadas
MED-6535,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-205D0_img1.jpg,imagenes_variante_duplicadas
MED-6536,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-208D0_img1.jpg,imagenes_variante_duplicadas
MED-6537,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-210_img1.jpg,imagenes_variante_duplicadas
MED-6538,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-212P0_img1.jpg,imagenes_variante_duplicadas
MED-6539,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-2130_img1.jpg,imagenes_variante_duplicadas
