mi_sku,subcategoria,tipo,sku_ref,archivo_actual,familia_duplicada
MED-6504,spo2_direct_connect_sensors,Multi-Site,S810-070,direct-connect-spo2-sensors/S810-070_img1.jpg,si
MED-6504,spo2_direct_connect_sensors,Neonate Soft,S310-070,direct-connect-spo2-sensors/S310-070_img1.jpg,si
MED-6504,spo2_direct_connect_sensors,Pediatric Clip,S110-070,direct-connect-spo2-sensors/S110-070_img1.jpg,si
MED-6504,spo2_direct_connect_sensors,Pediatric Soft,S110S-070,direct-connect-spo2-sensors/S110S-070_img1.jpg,si
MED-6505,spo2_direct_connect_sensors,Adult Clip,S410-080,direct-connect-spo2-sensors/S410-080_img1.jpg,si
MED-6505,spo2_direct_connect_sensors,Adult Soft,S410S-080,direct-connect-spo2-sensors/S410S-080_img1.jpg,si
MED-6505,spo2_direct_connect_sensors,Multi-Site,S810-080,direct-connect-spo2-sensors/S810-080_img1.jpg,si
MED-6505,spo2_direct_connect_sensors,Neonate Soft,S310-080,direct-connect-spo2-sensors/S310-080_img1.jpg,si
MED-6505,spo2_direct_connect_sensors,Pediatric Clip,S110-080,direct-connect-spo2-sensors/S110-080_img1.jpg,si
MED-6505,spo2_direct_connect_sensors,Pediatric Soft,S110S-080,direct-connect-spo2-sensors/S110S-080_img1.jpg,si
MED-6506,spo2_direct_connect_sensors,Adult Clip,S410-08L0,direct-connect-spo2-sensors/S410-08L0_img1.jpg,si
MED-6506,spo2_direct_connect_sensors,Adult Soft,S410S-08L0,direct-connect-spo2-sensors/S410S-08L0_img1.jpg,si
MED-6506,spo2_direct_connect_sensors,Multi-Site,S810-08L0,direct-connect-spo2-sensors/S810-08L0_img1.jpg,si
MED-6506,spo2_direct_connect_sensors,Neonate Soft,S310-08L0,direct-connect-spo2-sensors/S310-08L0_img1.jpg,si
MED-6506,spo2_direct_connect_sensors,Pediatric Clip,S110-08L0,direct-connect-spo2-sensors/S110-08L0_img1.jpg,si
MED-6506,spo2_direct_connect_sensors,Pediatric Soft,S110S-08L0,direct-connect-spo2-sensors/S110S-08L0_img1.jpg,si
MED-6507,spo2_direct_connect_sensors,Adult Clip,S410-090,direct-connect-spo2-sensors/S410-090_img1.jpg,si
MED-6507,spo2_direct_connect_sensors,Adult Soft,S410S-090,direct-connect-spo2-sensors/S410S-090_img1.jpg,si
MED-6507,spo2_direct_connect_sensors,Multi-Site,S810-090,direct-connect-spo2-sensors/S810-090_img1.jpg,si
MED-6507,spo2_direct_connect_sensors,Neonate Soft,S310-090,direct-connect-spo2-sensors/S310-090_img1.jpg,si
MED-6507,spo2_direct_connect_sensors,Pediatric Clip,S110-090,direct-connect-spo2-sensors/S110-090_img1.jpg,si
MED-6507,spo2_direct_connect_sensors,Pediatric Soft,S110S-090,direct-connect-spo2-sensors/S110S-090_img1.jpg,si
MED-6508,spo2_direct_connect_sensors,Adult Clip,S410-100,direct-connect-spo2-sensors/S410-100_img1.jpg,si
MED-6508,spo2_direct_connect_sensors,Adult Soft,S410S-100,direct-connect-spo2-sensors/S410S-100_img1.jpg,si
MED-6508,spo2_direct_connect_sensors,Multi-Site,S810-100,direct-connect-spo2-sensors/S810-100_img1.jpg,si
MED-6508,spo2_direct_connect_sensors,Neonate Soft,S310-100,direct-connect-spo2-sensors/S310-100_img1.jpg,si
MED-6508,spo2_direct_connect_sensors,Pediatric Clip,S110-100,direct-connect-spo2-sensors/S110-100_img1.jpg,si
MED-6508,spo2_direct_connect_sensors,Pediatric Soft,S110S-100,direct-connect-spo2-sensors/S110S-100_img1.jpg,si
MED-6509,spo2_direct_connect_sensors,Adult Clip,S410-101P0,direct-connect-spo2-sensors/S410-101P0_img1.jpg,si
MED-6509,spo2_direct_connect_sensors,Adult Soft,S410S-101P0,direct-connect-spo2-sensors/S410S-101P0_img1.jpg,si
MED-6509,spo2_direct_connect_sensors,Multi-Site,S810-101P0,direct-connect-spo2-sensors/S810-101P0_img1.jpg,si
MED-6509,spo2_direct_connect_sensors,Neonate Soft,S310-101P0,direct-connect-spo2-sensors/S310-101P0_img1.jpg,si
